player,player_key,pos,team,adp_avg,market_rank,uncapped_model_rank,model_rank,fair_adp,actionable_adp,value_gap,forecast_points,forecast_ppg,forecast_games,model_value,position_rank,edge_probability,calibration_sample,confidence
tony pollard,tonypollard,RB,TEN,66.9,66,75,71,71,67,-5,140.0,10.2,13.6,4.699999999999989,27,0.46047307812013694,38,High
terry mclaurin,terrymclaurin,WR,WAS,43.3,43,76,72,72,50,-29,154.1,11.4,13.3,4.299999999999983,26,0.3419802703690172,7,High
rico dowdle,ricodowdle,RB,PIT,70.7,71,78,73,73,72,-2,137.7,10.0,13.5,2.3999999999999773,28,0.46047307812013694,38,High
davante adams,davanteadams,WR,LAR,38.8,39,79,74,74,48,-35,150.1,11.4,13.0,0.29999999999998295,28,0.3419802703690172,7,High
dallas goedert,dallasgoedert,TE,PHI,111.9,115,64,75,75,105,40,109.0,7.9,13.6,11.099999999999994,9,0.8190276110444178,40,High
marvin harrison jr.,marvinharrison,WR,ARI,62.6,63,80,76,76,66,-13,150.1,10.5,14.1,0.29999999999998295,27,0.39303221288515405,32,Medium
luther burden iii,lutherburden,WR,CHI,57.3,58,81,77,77,63,-19,149.9,10.5,14.2,0.09999999999999432,29,0.39303221288515405,32,Low
justin herbert,justinherbert,QB,LAC,104.7,107,82,78,78,100,29,254.7,17.5,13.9,0.0,12,0.5215027187345527,1,High
george kittle,georgekittle,TE,SF,118.8,121,65,79,79,110,42,108.5,8.1,13.5,10.599999999999994,10,0.8190276110444178,40,High
parker washington,parkerwashington,WR,JAX,67.1,68,83,80,80,71,-12,149.8,10.4,14.3,0.0,30,0.41977415966386555,48,High
chuba hubbard,chubahubbard,RB,CAR,75.9,79,84,81,81,80,-2,135.3,9.8,13.6,0.0,29,0.46047307812013694,38,High
travis kelce,traviskelce,TE,KC,126.7,125,73,82,82,114,43,104.5,7.8,13.4,6.599999999999994,12,0.8190276110444178,40,High
j.k. dobbins,jkdobbins,RB,DEN,87.8,90,86,83,83,88,7,135.1,9.7,13.3,-0.20000000000001705,30,0.5842807711319822,18,High
caleb williams,calebwilliams,QB,CHI,100.8,103,88,84,84,98,19,253.3,17.4,14.0,-1.3999999999999773,13,0.5388655462184874,32,Medium
christian watson,christianwatson,WR,GB,61.6,62,89,85,85,68,-23,147.1,10.8,13.7,-2.700000000000017,31,0.39303221288515405,32,High
alec pierce,alecpierce,WR,IND,52.8,55,90,86,86,63,-31,146.7,10.5,13.8,-3.1000000000000227,32,0.3648827952233525,22,High
jared goff,jaredgoff,QB,DET,108.3,112,91,87,87,106,25,251.3,17.4,13.9,-3.3999999999999773,14,0.5432773109243698,4,High
brian thomas jr.,brianthomas,WR,JAX,69.7,69,93,88,88,74,-19,145.4,10.1,14.0,-4.400000000000006,33,0.39303221288515405,32,Medium
isaiah likely,isaiahlikely,TE,NYG,136.5,136,71,89,89,124,47,104.9,7.3,13.4,7.0,11,0.8190276110444178,40,High
mark andrews,markandrews,TE,BAL,137.4,138,77,90,90,126,48,102.1,7.3,13.4,4.199999999999989,13,0.8190276110444178,40,High
dalton kincaid,daltonkincaid,TE,BUF,141.8,139,85,91,91,127,48,97.9,7.0,13.5,0.0,14,0.8190276110444178,40,High
dk metcalf,dkmetcalf,WR,PIT,62.9,64,94,92,92,71,-28,144.9,10.5,13.7,-4.900000000000006,34,0.3648827952233525,22,High
rhamondre stevenson,rhamondrestevenson,RB,NE,71.0,72,95,93,93,77,-21,129.8,9.5,13.1,-5.5,31,0.3513655462184874,32,High
jordyn tyson,jordyntyson,WR,NO,87.5,89,96,94,94,90,-5,143.7,9.4,15.2,-6.100000000000023,35,0.41977415966386555,48,Rookie / no NFL history
jaxson dart,jaxsondart,QB,NYG,104.9,108,97,95,95,105,13,248.3,17.2,13.8,-6.399999999999977,15,0.5388655462184874,32,Low
mike evans,mikeevans,WR,SF,55.7,56,98,96,96,66,-40,141.4,10.9,12.9,-8.400000000000006,36,0.3648827952233525,22,High
jake ferguson,jakeferguson,TE,DAL,146.6,149,87,97,97,136,52,96.6,7.2,13.3,-1.3000000000000114,15,0.8190276110444178,40,High
aaron jones sr.,aaronjones,RB,MIN,96.9,99,99,98,98,99,1,126.8,9.1,13.3,-8.500000000000014,32,0.5842807711319822,18,High
bo nix,bonix,QB,DEN,118.5,120,100,99,99,115,21,245.6,17.1,13.8,-9.099999999999994,16,0.5270483193277311,16,Medium
jaylen warren,jaylenwarren,RB,PIT,74.8,76,102,100,100,82,-24,125.2,9.2,13.1,-10.100000000000009,33,0.3513655462184874,32,High
courtland sutton,courtlandsutton,WR,DEN,58.3,60,103,101,101,70,-41,137.7,10.1,13.4,-12.100000000000023,37,0.3648827952233525,22,High
hunter henry,hunterhenry,TE,NE,151.5,156,92,102,102,142,54,93.7,6.8,13.5,-4.200000000000003,16,0.8190276110444178,40,High
rachaad white,rachaadwhite,RB,WAS,107.1,110,104,103,103,108,7,123.1,8.9,13.8,-12.200000000000017,34,0.6818727490996399,19,High
baker mayfield,bakermayfield,QB,TB,133.4,130,105,104,104,124,26,242.3,17.0,13.8,-12.399999999999977,17,0.5432773109243698,4,High
